height,blocktime,deviation
2136576,4,116
2136577,142,22
2136578,33,87
2136579,169,49
2136580,60,60
2136581,56,64
2136582,483,363
2136583,-14,134
2136584,81,39
2136585,86,34
2136586,7,113
2136587,27,93
2136588,32,88
2136589,67,53
2136590,35,85
2136591,6,114
2136592,10,110
2136593,-2,122
2136594,12,108
2136595,46,74
2136596,54,66
2136597,46,74
2136598,125,5
2136599,12,108
2136600,113,7
2136601,66,54
2136602,105,15
2136603,42,78
2136604,481,361
2136605,33,87
2136606,156,36
2136607,207,87
2136608,114,6
2136609,11,109
2136610,35,85
2136611,51,69
2136612,29,91
2136613,174,54
2136614,29,91
2136615,78,42
2136616,14,106
2136617,100,20
2136618,56,64
2136619,155,35
2136620,306,186
2136621,52,68
2136622,105,15
2136623,200,80
2136624,32,88
2136625,225,105
2136626,16,104
2136627,47,73
2136628,161,41
2136629,26,94
2136630,9,111
2136631,41,79
2136632,7,113
2136633,155,35
2136634,19,101
2136635,153,33
2136636,37,83
2136637,68,52
2136638,9,111
2136639,27,93
2136640,348,228
2136641,162,42
2136642,17,103
2136643,199,79
2136644,88,32
2136645,91,29
2136646,228,108
2136647,16,104
2136648,2,118
2136649,147,27
2136650,59,61
2136651,111,9
2136652,432,312
2136653,140,20
2136654,81,39
2136655,57,63
2136656,-11,131
2136657,229,109
2136658,67,53
2136659,44,76
2136660,50,70
2136661,28,92
2136662,46,74
2136663,137,17
2136664,64,56
2136665,116,4
2136666,-25,145
2136667,529,409
2136668,43,77
2136669,120,0
2136670,23,97
2136671,121,1
2136672,245,125
2136673,76,44
2136674,25,95
2136675,142,22
2136676,66,54
2136677,24,96
2136678,148,28
2136679,6,114
2136680,8,112
2136681,21,99
2136682,71,49
2136683,-7,127
2136684,127,7
2136685,48,72
2136686,92,28
2136687,20,100
2136688,44,76
2136689,16,104
2136690,4,116
2136691,131,11
2136692,-7,127
2136693,176,56
2136694,15,105
2136695,202,82
2136696,206,86
2136697,314,194
2136698,3,117
2136699,152,32
2136700,10,110
2136701,39,81
2136702,53,67
2136703,46,74
2136704,85,35
2136705,38,82
2136706,16,104
2136707,10,110
2136708,27,93
2136709,131,11
2136710,268,148
2136711,8,112
2136712,258,138
2136713,-11,131
2136714,51,69
2136715,102,18
2136716,49,71
2136717,235,115
2136718,78,42
2136719,99,21
2136720,22,98
2136721,69,51
2136722,-22,142
2136723,88,32
2136724,69,51
2136725,57,63
2136726,0,120
2136727,123,3
2136728,290,170
2136729,296,176
2136730,6,114
2136731,109,11
2136732,42,78
2136733,141,21
2136734,242,122
2136735,90,30
2136736,170,50
2136737,29,91
2136738,247,127
2136739,224,104
2136740,28,92
2136741,15,105
2136742,190,70
2136743,32,88
2136744,169,49
2136745,12,108
2136746,3,117
2136747,373,253
2136748,102,18
2136749,6,114
2136750,-20,140
2136751,158,38
2136752,125,5
2136753,206,86
2136754,18,102
2136755,17,103
2136756,105,15
2136757,1,119
2136758,179,59
2136759,25,95
2136760,647,527
2136761,22,98
2136762,240,120
2136763,94,26
2136764,114,6
2136765,65,55
2136766,34,86
2136767,163,43
2136768,251,131
2136769,16,104
2136770,88,32
2136771,49,71
2136772,20,100
2136773,80,40
2136774,47,73
2136775,345,225
2136776,225,105
2136777,271,151
2136778,473,353
2136779,107,13
2136780,42,78
2136781,18,102
2136782,45,75
2136783,18,102
2136784,52,68
2136785,240,120
2136786,25,95
2136787,258,138
2136788,192,72
2136789,27,93
2136790,44,76
2136791,110,10
2136792,5,115
2136793,47,73
2136794,2,118
2136795,144,24
2136796,207,87
2136797,64,56
2136798,-12,132
2136799,46,74
2136800,239,119
2136801,146,26
2136802,610,490
2136803,111,9
2136804,415,295
2136805,28,92
2136806,109,11
2136807,105,15
2136808,614,494
2136809,15,105
2136810,42,78
2136811,101,19
2136812,466,346
2136813,117,3
2136814,-6,126
2136815,114,6
2136816,136,16
2136817,19,101
2136818,64,56
2136819,114,6
2136820,292,172
2136821,254,134
2136822,846,726
2136823,220,100
2136824,24,96
2136825,236,116
2136826,277,157
2136827,224,104
2136828,45,75
2136829,58,62
2136830,83,37
2136831,534,414
2136832,68,52
2136833,157,37
2136834,20,100
2136835,11,109
2136836,252,132
2136837,8,112
2136838,799,679
2136839,58,62
2136840,1,119
2136841,88,32
2136842,227,107
2136843,1057,937
2136844,36,84
2136845,989,869
2136846,11,109
2136847,25,95
2136848,337,217
2136849,13,107
2136850,684,564
2136851,9,111
2136852,54,66
2136853,4,116
2136854,447,327
2136855,56,64
2136856,47,73
2136857,4,116
2136858,76,44
2136859,30,90
2136860,38,82
2136861,88,32
2136862,236,116
2136863,331,211
2136864,23,97
2136865,277,157
2136866,315,195
2136867,58,62
2136868,5,115
2136869,155,35
2136870,29,91
2136871,306,186
2136872,38,82
2136873,57,63
2136874,106,14
2136875,51,69
2136876,7,113
2136877,61,59
2136878,70,50
2136879,213,93
2136880,155,35
2136881,29,91
2136882,41,79
2136883,165,45
2136884,752,632
2136885,228,108
2136886,251,131
2136887,213,93
2136888,472,352
2136889,41,79
2136890,47,73
2136891,37,83
2136892,113,7
2136893,45,75
2136894,99,21
2136895,287,167
2136896,27,93
2136897,338,218
2136898,37,83
2136899,114,6
2136900,51,69
2136901,185,65
2136902,515,395
2136903,44,76
2136904,10,110
2136905,2,118
2136906,2,118
2136907,7,113
2136908,2,118
2136909,168,48
2136910,-35,155
2136911,73,47
2136912,226,106
2136913,27,93
2136914,602,482
2136915,186,66
2136916,6,114
2136917,106,14
2136918,172,52
2136919,354,234
2136920,4,116
2136921,495,375
2136922,120,0
2136923,324,204
2136924,146,26
2136925,-6,126
2136926,59,61
2136927,54,66
2136928,365,245
2136929,40,80
2136930,-29,149
2136931,319,199
2136932,181,61
2136933,15,105
2136934,113,7
2136935,76,44
2136936,87,33
2136937,785,665
2136938,94,26
2136939,166,46
2136940,2,118
2136941,132,12
2136942,136,16
2136943,441,321
2136944,274,154
2136945,202,82
2136946,237,117
2136947,112,8
2136948,132,12
2136949,165,45
2136950,410,290
2136951,45,75
2136952,178,58
2136953,287,167
